[22:31:54] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:32:01] [ServerMain/INFO]: Loaded 7 recipes
[22:32:01] [ServerMain/INFO]: Loaded 1271 advancements
[22:32:03] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:32:03] [Server thread/INFO]: Loading properties
[22:32:03] [Server thread/INFO]: Default game type: SURVIVAL
[22:32:03] [Server thread/INFO]: Generating keypair
[22:32:03] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:32:04] [Server thread/INFO]: Using epoll channel type
[22:32:04] [Server thread/INFO]: Preparing level "world"
[22:32:09] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:32:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[22:32:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:32:25] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[22:32:26] [Worker-Main-6/INFO]: Preparing spawn area: 28%
[22:32:26] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[22:32:27] [Worker-Main-7/INFO]: Preparing spawn area: 69%
